cellid,cellname,mptLat,mptLon,mptX,mptY,mptZ,UTMzone,c_a_erg,c_cap_mean,c_cap_med,c_cap_sig
416,c.416,23.25516671,121.558097,352.5,2572.5,25,51N,-0.008798,-0.8408811880122675,-0.8459636555524771,1.1101953161784244
417,c.417,23.39061971,121.5566345,352.5,2587.5,25,51N,-0.008798,-0.6174324992645468,-0.31017043494927976,1.0205645203181894
418,c.418,23.52607028,121.5551611,352.5,2602.5,25,51N,-0.008798,-0.42387822706075673,-0.2281890803884308,0.6028748240596512
419,c.419,23.66151841,121.5536766,352.5,2617.5,25,51N,-0.008798,-0.6376365055247005,-0.6166041720978801,0.5956338582654355
420,c.420,23.79696408,121.552181,352.5,2632.5,25,51N,-0.008798,-0.45862717088811583,-0.1772962774783308,0.7438871883296356
421,c.421,23.93240728,121.5506742,352.5,2647.5,25,51N,-0.008798,-0.4513685575716684,-0.21977508699516635,0.5261050873829314
422,c.422,24.06784801,121.5491563,352.5,2662.5,25,51N,-0.008798,-1.4225604735797541,-0.4253854637880215,1.9143822257985106
423,c.423,24.20328625,121.547627,352.5,2677.5,25,51N,-0.008798,-1.4020942095957192,-0.5888381559677496,1.5267809521585254
424,c.424,24.33872199,121.5460865,352.5,2692.5,25,51N,-0.008798,-0.6925170492180006,-0.294778442444968,0.8190054115687001
425,c.425,24.47415523,121.5445345,352.5,2707.5,25,51N,-0.008798,-1.206022684003862,-0.7203127564051027,1.205557173847407
426,c.426,24.60958594,121.5429712,352.5,2722.5,25,51N,-0.008798,-1.041167557156611,-0.5965018962620027,1.0910737820076541
427,c.427,24.74501412,121.5413964,352.5,2737.5,25,51N,-0.008798,-0.9295787617935307,-0.27599025891759166,1.4284928634786036
428,c.428,24.88043976,121.53981,352.5,2752.5,25,51N,-0.008798,-0.8076731512291465,-0.40832063965230353,1.1015641200895177
429,c.429,25.01586285,121.5382121,352.5,2767.5,25,51N,-0.008798,-0.5510122718845216,-0.2798793725319296,0.47215116981056166
430,c.430,25.15128338,121.5366025,352.5,2782.5,25,51N,-0.008798,-0.3267101396495078,-0.37067523394591645,0.1593978624141077
431,c.431,25.28670133,121.5349813,352.5,2797.5,25,51N,-0.008798,-1.2350095325421067,-1.3763968249821414,0.8916871149601929
435,c.435,22.17266837,121.7148605,367.5,2452.5,25,51N,-0.008798,-0.36102341016833384,-0.15226616816273558,0.4006877320019204
436,c.436,22.30814861,121.7136242,367.5,2467.5,25,51N,-0.008798,-1.2512184243397941,-0.22214089374133345,1.729462321123432
438,c.438,22.5791021,121.7111229,367.5,2497.5,25,51N,-0.008798,-1.3016897496732136,-1.5464101556606376,0.7804168712274123
439,c.439,22.71457533,121.7098579,367.5,2512.5,25,51N,-0.008798,-1.4134362258669355,-0.8243683609703555,1.3981036073427349
440,c.440,22.85004619,121.7085832,367.5,2527.5,25,51N,-0.008798,-0.8167922931514188,-0.5716577506909861,1.0386820760223288
441,c.441,22.98551468,121.7072987,367.5,2542.5,25,51N,-0.008798,-1.0254460900128692,-0.38070612455547637,1.014541689716217
442,c.442,23.12098079,121.7060045,367.5,2557.5,25,51N,-0.008798,-0.6156224910419672,-0.3518414360519891,0.5589437686445954
443,c.443,23.25644451,121.7047005,367.5,2572.5,25,51N,-0.008798,-1.4470186032565495,-1.5523004639431806,1.0882481811429399
444,c.444,23.39190581,121.7033867,367.5,2587.5,25,51N,-0.008798,-0.8724728595914961,-0.17573386120022602,1.2144756674741528
445,c.445,23.52736471,121.7020629,367.5,2602.5,25,51N,-0.008798,-0.3955348521388605,-0.17639189700810431,0.7925416589297082
446,c.446,23.66282117,121.7007293,367.5,2617.5,25,51N,-0.008798,-0.32452316967105344,-0.20803187290240083,0.28707872264220563
447,c.447,23.7982752,121.6993856,367.5,2632.5,25,51N,-0.008798,-0.4983985638191089,-0.34415435736415323,0.5759235007182173
448,c.448,23.93372678,121.6980319,367.5,2647.5,25,51N,-0.008798,-2.4871558858136313,-1.3316031333653595,2.6376866351265806
449,c.449,24.0691759,121.6966682,367.5,2662.5,25,51N,-0.008798,-0.41902833560906805,-0.21563876049528544,0.44400660587970736
