Inference for Stan model: anon_model_2bcafdf2c8909f974977673c3a5d5c71.
4 chains, each with iter=20; warmup=10; thin=1; 
post-warmup draws per chain=10, total post-warmup draws=40.

               mean se_mean     sd    2.5%     25%     50%     75%    97.5%  n_eff   Rhat
dc_1bs[133]    0.28     nan   1.62   -1.78   -1.54    1.23    1.74     2.03    nan   3.21
dc_1bs[134]     0.6     nan   0.99   -1.29   -0.42    0.75    1.53     1.79    nan   2.67
dc_1bs[135]   -0.23     nan   0.56   -1.17   -0.67   -0.09    0.18     0.48    nan   4.61
dc_1bs[136]    -0.1    0.52   0.79   -1.38   -0.87    0.12     0.5     0.99      2   5.62
dc_1bs[137]    1.41     nan   0.58    0.19    1.17    1.27    1.93     2.25    nan   2.81
dc_1bs[138]    0.12     nan   1.09   -1.52    -0.8    0.18     0.5     2.02    nan   4.07
dc_1bs[139] -2.1e-3     nan   1.02    -1.1   -1.01   -0.35    0.98     1.48    nan   9.59
dc_1bs[140]   -0.34     nan   1.27   -1.53   -1.47   -0.89    1.15     1.66    nan   3.49
dc_1bs[141]   -1.28     nan   0.81   -1.88   -1.83   -1.73   -0.32     0.81    nan   1.75
dc_1bs[142]   -0.51     nan   0.78   -1.56   -1.04   -0.54    0.45     1.07    nan    2.0
dc_1bs[143]   -0.03     nan   0.98    -1.8   -0.81    0.23    0.77      0.8    nan   6.97
dc_1bs[144]   -0.29     nan    1.1   -1.53   -1.31   -0.31    0.58     1.73    nan   8.74
dc_1bs[145]    0.26     nan   0.35   -0.47     0.1     0.1    0.46      1.0    nan   1.29
dc_1bs[146]   -0.49     nan   0.57   -1.48   -0.67   -0.52    0.12     0.25    nan   3.07
dc_1bs[147]    0.51     nan   0.45   -0.22    0.22    0.32    1.01     1.14    nan   3.04
dc_1bs[148]   -0.21     nan   0.81   -1.76   -0.85    0.22    0.45     0.61    nan   3.84
dc_1bs[149]    0.38     nan   0.58   -0.59   -0.04    0.18    0.94     1.24    nan   2.97
dc_1bs[150]    0.38     nan   0.74   -0.85   -0.34    0.14    1.17     1.18    nan   2.37
dc_1bs[151]    0.69     nan   1.16   -1.18   -0.59    1.41    1.49     1.95    nan   3.27
dc_1bs[152]   -0.42     nan   1.14   -1.99   -1.41   -0.39    0.58     1.09    nan   2.57
dc_1bs[153]    0.02     nan   0.81   -0.67   -0.67    -0.5    0.48     1.54    nan   2.23
